"location","indicator","sex","residence","Unit","Date","Value"
"Kenya","Gross Attendance Ratio, Secondary","Female","Rural","%","2006","35"
"Kenya","Gross Attendance Ratio, Secondary","Total","Urban","Number","2006","580177.9"
"Kenya","Gross Attendance Ratio, Secondary","Total","Rural","Number","2006","3085573.5"
"Kenya","Population","Male","Total","Persons","2009","19206327"
"Kenya","Population","Female","Total","Persons","2009","19435322"
"Kenya","Population","Total","Total","Persons","2009","38641649"
"Kenya","Proportion of Children (3-5 years) attending School","Male","Total","Number","2006","968089.2"
"Kenya","Proportion of Children (3-5 years) attending School","Female","Total","Number","2006","978982.9"
"Kenya","Proportion of Children (3-5 years) attending School","Total","Urban","Number","2006","359120.2"
"Kenya","Proportion of Children (3-5 years) attending School","Total","Rural","Number","2006","1587951.9"
"Kenya","% Attending School","Male","Total","%","2006","26.345805738"
"Kenya","% Attending School","Female","Total","%","2006","30.110066274"
"Kenya","% Attending School","Total","Urban","%","2006","45.473159126"
"Kenya","% Attending School","Total","Rural","%","2006","24.340787652"
"Nairobi","Primary School Enrollment","Total","Total","Number","1970","61238"
"Nairobi","Primary School Enrollment","Total","Total","Number","1971","67523"
"Nairobi","Primary School Enrollment","Total","Total","Number","1972","71786"
"Nairobi","Primary School Enrollment","Total","Total","Number","1973","76375"
"Nairobi","Primary School Enrollment","Total","Total","Number","1974","83430"
"Nairobi","Primary School Enrollment","Total","Total","Number","1975","83400"
"Nairobi","Primary School Enrollment","Total","Total","Number","1976","84738"
"Nairobi","Primary School Enrollment","Total","Total","Number","1977","86342"
"Nairobi","Primary School Enrollment","Total","Total","Number","1978","91540"
"Nairobi","Primary School Enrollment","Total","Total","Number","1979","94202"
"Nairobi","Primary School Enrollment","Total","Total","Number","1980","97984"
"Nairobi","Primary School Enrollment","Total","Total","Number","1981","102266"
"Nairobi","Primary School Enrollment","Total","Total","Number","1982","105549"
"Nairobi","Primary School Enrollment","Total","Total","Number","1983","107706"
"Nairobi","Primary School Enrollment","Total","Total","Number","1984","110902"
"Nairobi","Primary School Enrollment","Total","Total","Number","1985","123573"
"Nairobi","Primary School Enrollment","Total","Total","Number","1986","127507"
"Nairobi","Primary School Enrollment","Total","Total","Number","1987","133794"
"Nairobi","Primary School Enrollment","Total","Total","Number","1988","139391"
"Nairobi","Primary School Enrollment","Total","Total","Number","1989","179829"
"Nairobi","Primary School Enrollment","Total","Total","Number","1990","146565"
"Nairobi","Primary School Enrollment","Total","Total","Number","1991","149565"
"Nairobi","Primary School Enrollment","Total","Total","Number","1992","152384"
"Nairobi","Primary School Enrollment","Total","Total","Number","1993","122626"
"Nairobi","Primary School Enrollment","Total","Total","Number","1994","153668"
"Nairobi","Primary School Enrollment","Total","Total","Number","1995","157080"
"Nairobi","Primary School Enrollment","Total","Total","Number","1996","154946"
"Nairobi","Primary School Enrollment","Total","Total","Number","1997","153640"
"Nairobi","Primary School Enrollment","Total","Total","Number","1998","155834"
"Nairobi","Primary School Enrollment","Total","Total","Number","1999","150852"
"Nairobi","Primary School Enrollment","Total","Total","Number","2000","177608"
"Nairobi","Primary School Enrollment","Total","Total","Number","2001","159537"
"Nairobi","Primary School Enrollment","Total","Total","Number","2002","177208"
"Nairobi","Primary School Enrollment","Total","Total","Number","2003","217167"
"Nairobi","Primary School Enrollment","Total","Total","Number","2004","229252"
"Nairobi","Primary School Enrollment","Total","Total","Number","2005","237.858"
"Nairobi","Primary School Enrollment","Total","Total","Number","2006","234819"
"Nairobi","Primary School Enrollment","Total","Total","Number","2007","319000"
"Nairobi","Primary School Enrollment","Total","Total","Number","2008","320102"
"Nairobi","Primary School Enrollment","Total","Total","Number","2009","423326"
"Nairobi","Primary School Enrollment","Total","Total","Number","2010","440586"
"Nairobi","Primary School Enrollment","Total","Total","Number","2011","450399"
"Nairobi","Primary School Enrollment","Total","Total","Number","2012","459655"
"Nairobi","Primary School Enrollment","Total","Total","Number","2013","464366"
"Nairobi","Primary School Enrollment","Total","Total","Number","2014","468754"
"Nairobi","Primary School Enrollment","Total","Total","Number","2015","450930"
"Nairobi","Primary School Enrollment","Total","Total","Number","2016","504220"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1986","31000"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1987","29900"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1988","30500"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1989","34200"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1990","35900"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1991","33900"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1992","34000"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1993","15000"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1994","31700"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1995","30300"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1996","22500"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1997","22500"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1998","24200"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","1999","20400"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2000","23600"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2001","19400"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2002","35400"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2003","20200"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2004","29700"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2005","28500"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2006","29700"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2007","26804"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2008","30337"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2009","44168"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2010","49590"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2011","53019"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2012","57431"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2013","63113"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2014","69934"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2015","74878"
"Nairobi","Secondary Schools Enrollment","Total","Total","Number","2016","86057"
"Nairobi","School Net Attendance Ratio, Primary","Male","Total","%","2006","86.10581633"
"Nairobi","School Net Attendance Ratio, Primary","Female","Total","%","2006","91.693597572"
"Nairobi","School Net Attendance Ratio, Primary","Total","Total","Number","2006","416898.7"
"Nairobi","School Net Attendance Ratio, Secondary","Male","Total","%","2006","40.629760785"
"Nairobi","School Net Attendance Ratio, Secondary","Female","Total","%","2006","38.472976533"
"Nairobi","School Net Attendance Ratio, Secondary","Total","Total","Number","2006","167765.1"
"Nairobi","Gross Attendance Ratio, Primary","Male","Total","%","2006","103"
"Nairobi","Gross Attendance Ratio, Primary","Female","Total","%","2006","113"
"Nairobi","Gross Attendance Ratio, Primary","Total","Total","Number","2006","416898.7"
"Nairobi","Gross Attendance Ratio, Secondary","Male","Total","%","2006","83"
"Nairobi","Gross Attendance Ratio, Secondary","Female","Total","%","2006","70"
"Nairobi","Gross Attendance Ratio, Secondary","Total","Total","Number","2006","167765.1"
"Nairobi","Population","Male","Total","Persons","2009","1603063"
"Nairobi","Population","Female","Total","Persons","2009","1531198"
"Nairobi","Population","Total","Total","Persons","2009","3134261"
"Nairobi","Proportion of Children (3-5 years) attending School","Total","Total","Number","2006","150609.6"
"Nairobi","% Attending School","Total","Total","%","2006","58.924198723"
"Nairobi East","In school with pre-primary as percent of pre-primary population","Male","Urban","%","2006","110.77"
"Nairobi East","In school with pre-primary as percent of pre-primary population","Female","Urban","%","2006","109.72"
"Nairobi East","In school with Primary education as % of primary school age population","Male","Urban","%","2006","111.62"
"Nairobi East","In school with Primary education as % of primary school age population","Female","Urban","%","2006","111.54"
"Nairobi East","In school with Secondary education as percent of secondary school age population","Male","Urban","%","2006","109.34"
"Nairobi East","In school with Secondary education as percent of secondary school age population","Female","Urban","%","2006","87.56"
"Nairobi East","In school with Tertiary education as % of population","Male","Urban","%","2006","23.15"
"Nairobi East","In school with Tertiary education as % of population","Female","Urban","%","2006","16.67"
"Nairobi East","University students as % of population","Male","Urban","%","2006","18.65"
"Nairobi East","University students as % of population","Female","Urban","%","2006","10.33"
"Nairobi East","Youth Polytechnic students as percent of population","Male","Urban","%","2006","1.45"
"Nairobi East","Youth Polytechnic students as percent of population","Female","Urban","%","2006","0.74"
"Nairobi East","% of people with over 3 years Basic Literacy","Male","Urban","%","2006","0.2"
"Nairobi East","% of people with over 3 years Basic Literacy","Female","Urban","%","2006","0.2"
"Nairobi East","Students in Madrassa school as percent of school age children","Male","Urban","%","2006","0.11"
"Nairobi East","Students in Madrassa school as percent of school age children","Female","Urban","%","2006","0.11"
"Nairobi East","No. of people over 3 years in school with Pre-Primary education","Male","Urban","Number","2006","29848"
"Nairobi East","No. of people over 3 years in school with Pre-Primary education","Female","Urban","Number","2006","29404"
"Nairobi East","No. of people over 3 years in school with Primary education","Male","Urban","Number","2006","87398"
"Nairobi East","No. of people over 3 years in school with Primary education","Female","Urban","Number","2006","91204"
"Nairobi East","No. of people over 3 years in school with Secondary education","Male","Urban","Number","2006","31101"
"Nairobi East","No. of people over 3 years in school with Secondary education","Female","Urban","Number","2006","32355"
"Nairobi East","No. of people over 3 years in school with Tertiary education","Male","Urban","Number","2006","13423"
"Nairobi East","No. of people over 3 years in school with Tertiary education","Female","Urban","Number","2006","14367"
"Nairobi East","No. of people over 3 years in University","Male","Urban","Number","2006","10814"
"Nairobi East","No. of people over 3 years in University","Female","Urban","Number","2006","8906"
"Nairobi East","Youth Polytechnic","Male","Urban","Number","2006","842"
"Nairobi East","Youth Polytechnic","Female","Urban","Number","2006","638"
"Nairobi East","No. of people over 3 years with Basic Literacy","Male","Urban","Number","2006","346"
"Nairobi East","No. of people over 3 years with Basic Literacy","Female","Urban","Number","2006","359"
"Nairobi East","No. of people over 3 years in  Madrassa school","Male","Urban","Number","2006","145"
"Nairobi East","No. of people over 3 years in  Madrassa school","Female","Urban","Number","2006","167"
"Nairobi East","Population","Male","Urban","Persons","2006","173917"
"Nairobi East","Population","Female","Urban","Persons","2006","177400"
"Nairobi East","Pre-primary school age children","Male","Urban","Number","2006","26946"
"Nairobi East","Pre-primary school age children","Female","Urban","Number","2006","26798"
"Nairobi East","Primary school age children","Male","Urban","Number","2006","78300"
"Nairobi East","Primary school age children","Female","Urban","Number","2006","81767"
"Nairobi East","Secondary School age children","Male","Urban","Number","2006","28444"
"Nairobi East","Secondary School age children","Female","Urban","Number","2006","36953"
"Nairobi East","School age children","Male","Urban","Number","2006","133690"
"Nairobi East","School age children","Female","Urban","Number","2006","145518"
"Nairobi East","Tertiary age population","Male","Urban","Number","2006","57986"
"Nairobi East","Tertiary age population","Female","Urban","Number","2006","86186"
"Nairobi North","In school with pre-primary as percent of pre-primary population","Male","Urban","%","2006","106.21"
"Nairobi North","In school with pre-primary as percent of pre-primary population","Female","Urban","%","2006","106.43"
"Nairobi North","In school with Primary education as % of primary school age population","Male","Urban","%","2006","110.36"
"Nairobi North","In school with Primary education as % of primary school age population","Female","Urban","%","2006","109.17"
"Nairobi North","In school with Secondary education as percent of secondary school age population","Male","Urban","%","2006","95.39"
"Nairobi North","In school with Secondary education as percent of secondary school age population","Female","Urban","%","2006","77.23"
"Nairobi North","In school with Tertiary education as % of population","Male","Urban","%","2006","19.55"
"Nairobi North","In school with Tertiary education as % of population","Female","Urban","%","2006","15.41"
"Nairobi North","University students as % of population","Male","Urban","%","2006","16.56"
"Nairobi North","University students as % of population","Female","Urban","%","2006","9.84"
"Nairobi North","Youth Polytechnic students as percent of population","Male","Urban","%","2006","1.2"
"Nairobi North","Youth Polytechnic students as percent of population","Female","Urban","%","2006","0.69"
"Nairobi North","% of people with over 3 years Basic Literacy","Male","Urban","%","2006","0.26"
"Nairobi North","% of people with over 3 years Basic Literacy","Female","Urban","%","2006","0.25"
"Nairobi North","Students in Madrassa school as percent of school age children","Male","Urban","%","2006","1.28"
"Nairobi North","Students in Madrassa school as percent of school age children","Female","Urban","%","2006","1.21"
"Nairobi North","No. of people over 3 years in school with Pre-Primary education","Male","Urban","Number","2006","26039"
"Nairobi North","No. of people over 3 years in school with Pre-Primary education","Female","Urban","Number","2006","25650"
"Nairobi North","No. of people over 3 years in school with Primary education","Male","Urban","Number","2006","81602"
"Nairobi North","No. of people over 3 years in school with Primary education","Female","Urban","Number","2006","83732"
"Nairobi North","No. of people over 3 years in school with Secondary education","Male","Urban","Number","2006","28440"
"Nairobi North","No. of people over 3 years in school with Secondary education","Female","Urban","Number","2006","27941"
"Nairobi North","No. of people over 3 years in school with Tertiary education","Male","Urban","Number","2006","12093"
"Nairobi North","No. of people over 3 years in school with Tertiary education","Female","Urban","Number","2006","12530"
"Nairobi North","No. of people over 3 years in University","Male","Urban","Number","2006","10240"
"Nairobi North","No. of people over 3 years in University","Female","Urban","Number","2006","7999"
"Nairobi North","Youth Polytechnic","Male","Urban","Number","2006","740"
"Nairobi North","Youth Polytechnic","Female","Urban","Number","2006","561"
"Nairobi North","No. of people over 3 years with Basic Literacy","Male","Urban","Number","2006","412"
"Nairobi North","No. of people over 3 years with Basic Literacy","Female","Urban","Number","2006","396"
"Nairobi North","No. of people over 3 years in  Madrassa school","Male","Urban","Number","2006","1644"
"Nairobi North","No. of people over 3 years in  Madrassa school","Female","Urban","Number","2006","1664"
"Nairobi North","Population","Male","Urban","Persons","2006","161210"
"Nairobi North","Population","Female","Urban","Persons","2006","160473"
"Nairobi North","Pre-primary school age children","Male","Urban","Number","2006","24517"
"Nairobi North","Pre-primary school age children","Female","Urban","Number","2006","24100"
"Nairobi North","Primary school age children","Male","Urban","Number","2006","73940"
"Nairobi North","Primary school age children","Female","Urban","Number","2006","76696"
"Nairobi North","Secondary School age children","Male","Urban","Number","2006","29814"
"Nairobi North","Secondary School age children","Female","Urban","Number","2006","36180"
"Nairobi North","School age children","Male","Urban","Number","2006","128271"
"Nairobi North","School age children","Female","Urban","Number","2006","136976"
"Nairobi North","Tertiary age population","Male","Urban","Number","2006","61851"
"Nairobi North","Tertiary age population","Female","Urban","Number","2006","81328"
"Nairobi West","In school with pre-primary as percent of pre-primary population","Male","Urban","%","2006","114.36"
"Nairobi West","In school with pre-primary as percent of pre-primary population","Female","Urban","%","2006","113.35"
"Nairobi West","In school with Primary education as % of primary school age population","Male","Urban","%","2006","113.48"
"Nairobi West","In school with Primary education as % of primary school age population","Female","Urban","%","2006","112.68"
"Nairobi West","In school with Secondary education as percent of secondary school age population","Male","Urban","%","2006","103.85"
"Nairobi West","In school with Secondary education as percent of secondary school age population","Female","Urban","%","2006","87.9"
"Nairobi West","In school with Tertiary education as % of population","Male","Urban","%","2006","19.03"
"Nairobi West","In school with Tertiary education as % of population","Female","Urban","%","2006","15.47"
"Nairobi West","University students as % of population","Male","Urban","%","2006","27.99"
"Nairobi West","University students as % of population","Female","Urban","%","2006","18.93"
"Nairobi West","Youth Polytechnic students as percent of population","Male","Urban","%","2006","1.49"
"Nairobi West","Youth Polytechnic students as percent of population","Female","Urban","%","2006","0.91"
"Nairobi West","% of people with over 3 years Basic Literacy","Male","Urban","%","2006","0.15"
"Nairobi West","% of people with over 3 years Basic Literacy","Female","Urban","%","2006","0.17"
"Nairobi West","Students in Madrassa school as percent of school age children","Male","Urban","%","2006","0.12"
"Nairobi West","Students in Madrassa school as percent of school age children","Female","Urban","%","2006","0.13"
"Nairobi West","No. of people over 3 years in school with Pre-Primary education","Male","Urban","Number","2006","17720"
"Nairobi West","No. of people over 3 years in school with Pre-Primary education","Female","Urban","Number","2006","17546"
"Nairobi West","No. of people over 3 years in school with Primary education","Male","Urban","Number","2006","55053"
"Nairobi West","No. of people over 3 years in school with Primary education","Female","Urban","Number","2006","56926"
"Nairobi West","No. of people over 3 years in school with Secondary education","Male","Urban","Number","2006","20425"
"Nairobi West","No. of people over 3 years in school with Secondary education","Female","Urban","Number","2006","20082"
"Nairobi West","No. of people over 3 years in school with Tertiary education","Male","Urban","Number","2006","7009"
"Nairobi West","No. of people over 3 years in school with Tertiary education","Female","Urban","Number","2006","7478"
"Nairobi West","No. of people over 3 years in University","Male","Urban","Number","2006","10306"
"Nairobi West","No. of people over 3 years in University","Female","Urban","Number","2006","9153"
"Nairobi West","Youth Polytechnic","Male","Urban","Number","2006","550"
"Nairobi West","Youth Polytechnic","Female","Urban","Number","2006","442"
"Nairobi West","No. of people over 3 years with Basic Literacy","Male","Urban","Number","2006","168"
"Nairobi West","No. of people over 3 years with Basic Literacy","Female","Urban","Number","2006","191"
"Nairobi West","No. of people over 3 years in  Madrassa school","Male","Urban","Number","2006","97"
"Nairobi West","No. of people over 3 years in  Madrassa school","Female","Urban","Number","2006","113"
"Nairobi West","Population","Male","Urban","Persons","2006","111328"
"Nairobi West","Population","Female","Urban","Persons","2006","111931"
"Nairobi West","Pre-primary school age children","Male","Urban","Number","2006","15495"
"Nairobi West","Pre-primary school age children","Female","Urban","Number","2006","15480"
"Nairobi West","Primary school age children","Male","Urban","Number","2006","48515"
"Nairobi West","Primary school age children","Female","Urban","Number","2006","50520"
"Nairobi West","Secondary School age children","Male","Urban","Number","2006","19668"
"Nairobi West","Secondary School age children","Female","Urban","Number","2006","22847"
"Nairobi West","School age children","Male","Urban","Number","2006","83678"
"Nairobi West","School age children","Female","Urban","Number","2006","88847"
"Nairobi West","Tertiary age population","Male","Urban","Number","2006","36824"
"Nairobi West","Tertiary age population","Female","Urban","Number","2006","48341"
"Westlands","In school with pre-primary as percent of pre-primary population","Male","Urban","%","2006","110.72"
"Westlands","In school with pre-primary as percent of pre-primary population","Female","Urban","%","2006","110.39"
"Westlands","In school with Primary education as % of primary school age population","Male","Urban","%","2006","112.65"
"Westlands","In school with Primary education as % of primary school age population","Female","Urban","%","2006","111.7"
"Westlands","In school with Secondary education as percent of secondary school age population","Male","Urban","%","2006","120.93"
"Westlands","In school with Secondary education as percent of secondary school age population","Female","Urban","%","2006","106.97"
"Westlands","In school with Tertiary education as % of population","Male","Urban","%","2006","25.04"
"Westlands","In school with Tertiary education as % of population","Female","Urban","%","2006","21.4"
"Westlands","University students as % of population","Male","Urban","%","2006","52.75"
"Westlands","University students as % of population","Female","Urban","%","2006","37.04"
"Westlands","Youth Polytechnic students as percent of population","Male","Urban","%","2006","0.97"
"Westlands","Youth Polytechnic students as percent of population","Female","Urban","%","2006","0.66"
"Westlands","% of people with over 3 years Basic Literacy","Male","Urban","%","2006","0.16"
"Westlands","% of people with over 3 years Basic Literacy","Female","Urban","%","2006","0.18"
"Westlands","Students in Madrassa school as percent of school age children","Male","Urban","%","2006","0.03"
"Westlands","Students in Madrassa school as percent of school age children","Female","Urban","%","2006","0.05"
"Westlands","No. of people over 3 years in school with Pre-Primary education","Male","Urban","Number","2006","4842"
"Westlands","No. of people over 3 years in school with Pre-Primary education","Female","Urban","Number","2006","4887"
"Westlands","No. of people over 3 years in school with Primary education","Male","Urban","Number","2006","17050"
"Westlands","No. of people over 3 years in school with Primary education","Female","Urban","Number","2006","17349"
"Westlands","No. of people over 3 years in school with Secondary education","Male","Urban","Number","2006","8146"
"Westlands","No. of people over 3 years in school with Secondary education","Female","Urban","Number","2006","8347"
"Westlands","No. of people over 3 years in school with Tertiary education","Male","Urban","Number","2006","2978"
"Westlands","No. of people over 3 years in school with Tertiary education","Female","Urban","Number","2006","3265"
"Westlands","No. of people over 3 years in University","Male","Urban","Number","2006","6275"
"Westlands","No. of people over 3 years in University","Female","Urban","Number","2006","5652"
"Westlands","Youth Polytechnic","Male","Urban","Number","2006","115"
"Westlands","Youth Polytechnic","Female","Urban","Number","2006","101"
"Westlands","No. of people over 3 years with Basic Literacy","Male","Urban","Number","2006","62"
"Westlands","No. of people over 3 years with Basic Literacy","Female","Urban","Number","2006","70"
"Westlands","No. of people over 3 years in  Madrassa school","Male","Urban","Number","2006","9"
"Westlands","No. of people over 3 years in  Madrassa school","Female","Urban","Number","2006","15"
"Westlands","Population","Male","Urban","Persons","2006","39477"
"Westlands","Population","Female","Urban","Persons","2006","39686"
"Westlands","Pre-primary school age children","Male","Urban","Number","2006","4373"
"Westlands","Pre-primary school age children","Female","Urban","Number","2006","4427"
"Westlands","Primary school age children","Male","Urban","Number","2006","15136"
"Westlands","Primary school age children","Female","Urban","Number","2006","15532"
"Westlands","Secondary School age children","Male","Urban","Number","2006","6736"
"Westlands","Secondary School age children","Female","Urban","Number","2006","7803"
"Westlands","School age children","Male","Urban","Number","2006","26245"
"Westlands","School age children","Female","Urban","Number","2006","27762"
"Westlands","Tertiary age population","Male","Urban","Number","2006","11895"
